PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-Z23WZW,8924,95180862,Pink,Pink,Medium,333,1
PID-Z23WZW,8924,95180859,Blue,Blue,XX Large,333,1
PID-Z23WZW,8924,95180856,Blue,Blue,Medium,333,1
PID-Z23WZW,8924,95180855,Blue,Blue,X Small,333,1
PID-Z23WZW,8924,1008852462,Blue,Blue,Small,333,1
PID-Z23WZW,8924,95180865,Pink,Pink,XX Large,333,1
PID-Z23WZW,8924,95180851,Green,Green,Medium,333,1
PID-Z23WZW,8924,95180867,White,White,Small,333,1
PID-Z245RG,7423,94943950,White,White,X Large,333,8
PID-Z245RG,7423,94943951,White,White,XX Large,333,8
PID-Z245RG,7423,94943946,White,White,X Small,333,8
PID-Z245RG,7423,94943947,White,White,Small,333,8
PID-Z245RG,7423,94943948,White,White,Medium,333,8
PID-Z245RG,7423,94943949,White,White,Large,333,8
PID-Z24G3Y,2185,94948192,White,White,X Small,333,2
PID-Z24G3Y,2185,94948195,White,White,Large,333,2
PID-Z24G3Y,2185,94948196,White,White,X Large,333,2
PID-Z24G3Y,2185,94948193,White,White,Small,333,2
PID-Z24G3Y,2185,94948194,White,White,Medium,333,2
PID-Z24G3Y,2185,94948197,White,White,XX Large,333,2
PID-Z275ZZ,3275,94826028,Blue,Aqua Blue,X Large,333,1
PID-Z275ZZ,3275,94826039,Silver,Silver,Large,333,1
PID-Z275ZZ,3275,94826029,Blue,Aqua Blue,XX Large,333,1
PID-Z275ZZ,3275,94826070,Black,Ebony,X Large,333,1
PID-Z275ZZ,3275,94826071,Black,Ebony,XX Large,333,1
PID-Z275ZZ,3275,94826040,Silver,Silver,X Large,333,1
PID-Z275ZZ,3275,94826030,Pink,Rose Pink,X Small,333,1
PID-Z275ZZ,3275,94826041,Silver,Silver,XX Large,333,1
PID-Z275ZZ,3275,94826031,Pink,Rose Pink,Small,333,1
PID-Z275ZZ,3275,94826032,Pink,Rose Pink,Medium,333,1
PID-Z275ZZ,3275,94826033,Pink,Rose Pink,Large,333,1
PID-Z275ZZ,3275,94826066,Black,Ebony,X Small,333,1
PID-Z275ZZ,3275,94826034,Pink,Rose Pink,X Large,333,1
PID-Z275ZZ,3275,94826067,Black,Ebony,Small,333,1
PID-Z275ZZ,3275,94826024,Blue,Aqua Blue,X Small,333,1
PID-Z275ZZ,3275,94826035,Pink,Rose Pink,XX Large,333,1
